"","elife_institution","THE_rank"
"6545","BioMediTech, Tampere University of Technology","Standard/Unranked/Unknown"
"6546","Università Cattolica del Sacro Cuore","Standard/Unranked/Unknown"
"6547","Nizhny Novgorod State Medical Academy","Standard/Unranked/Unknown"
"6548","POSTECH","Standard/Unranked/Unknown"
"6549","Neuromed","Standard/Unranked/Unknown"
"6550","All India Institute of Medical Sciences (AIIMS), New Delhi, India","Standard/Unranked/Unknown"
"6551","Biological Research Centre","Standard/Unranked/Unknown"
"6552","Sri Ramachandra University","Standard/Unranked/Unknown"
"6553","MRC Harwell Institute","Standard/Unranked/Unknown"
"6554","Université Nice","Standard/Unranked/Unknown"
"6555","Universitat Autònoma de Barcelona","Standard/Unranked/Unknown"
"6556","Institute for Nutritional Sciences, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"6557","Flatiron Institute","Standard/Unranked/Unknown"
"6558","Mass Eye and Ear","Standard/Unranked/Unknown"
"6559","1Centre for Research in Agricultural Genomics (CRAG)","Standard/Unranked/Unknown"
"6560","Friedrich-Alexander University of Erlangen-Nürnberg","Standard/Unranked/Unknown"
"6561","Research Institute Brainclinics","Standard/Unranked/Unknown"
"6562","Faculty of Pharmacy, Collegium Medicum in Bydgoszcz, Nicolaus Copernicus University in Toruń","Standard/Unranked/Unknown"
"6563","Clinica Universidad de Navarra","Standard/Unranked/Unknown"
"6564","BG Trauma Center Ludwigshafen, University of Heidelberg","Standard/Unranked/Unknown"
"6565","National Center for Protein Sciences, Beijing","Standard/Unranked/Unknown"
"6566","Westfälische Wilhelms-Universität","Standard/Unranked/Unknown"
"6567","Bharathidasan University","Standard/Unranked/Unknown"
"6568","Beijing University of Agriclture","Standard/Unranked/Unknown"
"6569","Central China Normal University","Standard/Unranked/Unknown"
"6570","Beijing Jianxing Traditional Chinese Medicine Hospital","Standard/Unranked/Unknown"
"6571","Children's Hospital of Chongqing Medical University","Standard/Unranked/Unknown"
"6572","Servicio de Hematología y Oncología Médica, Hospital Universitario Morales Meseguer, Universidad de Murcia, IMIB-Arrixaca.","Standard/Unranked/Unknown"
"6573","Charite","Standard/Unranked/Unknown"
"6574","Renji Hospital, School of medicine, Shanghai Jiao Tong University.","Standard/Unranked/Unknown"
"6575","Institute of Physical-Chemistry ""Rocasolano"", CSIC","Standard/Unranked/Unknown"
"6576","College of Physicians and Surgeons, Columbia University","Standard/Unranked/Unknown"
"6577","Institute of Integrative Biology","Standard/Unranked/Unknown"
"6578","Tarbiat Modares University","Standard/Unranked/Unknown"
"6579","Aaron Diamond AIDS Research Center","Standard/Unranked/Unknown"
"6580","University of Extremadura","Standard/Unranked/Unknown"
"6581","It Sligo","Standard/Unranked/Unknown"
"6582","Center for Biologics Evaluation and Research, US Food and Drug Administration","Standard/Unranked/Unknown"
"6583","Hydra Biosciences","Standard/Unranked/Unknown"
"6584","UMCU","Standard/Unranked/Unknown"
"6585","National Museum of Natural History","Standard/Unranked/Unknown"
"6586","Cincinnati Children's Hospital","Standard/Unranked/Unknown"
"6587","Tata Consultancy Services Ltd.","Standard/Unranked/Unknown"
"6588","Institut de Biologie et Chimie des Protéines, UMR 5086 CNRS/Université de Lyon","Standard/Unranked/Unknown"
"6589","Institute of Basic Research in Clinical Medicine, China Academy of Chinese Medical Sciences","Standard/Unranked/Unknown"
"6590","Instituto de Biomedicina de Valencia (IBV-CSIC)","Standard/Unranked/Unknown"
"6591","Institute of New Drug Research and Guangzhou Key Laboratory of Innovative Chemical","Standard/Unranked/Unknown"
"6592","Chengdu Institute of Biology, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"6593","Centre for DNA Fingerprinting and Diagnostics","Standard/Unranked/Unknown"
"6594","Islamic Azad University","Standard/Unranked/Unknown"
"6595","Basque Center on Cognition, Brain and Language","Standard/Unranked/Unknown"
"6596","H. Lee Moffitt Cancer Center","Standard/Unranked/Unknown"
"6597","Institute Pasteur de Montevideo","Standard/Unranked/Unknown"
"6598","Universidad Miguel Hernandez de Elche","Standard/Unranked/Unknown"
"6599","University Hospital (CHUV) and University of Lausanne","Standard/Unranked/Unknown"
"6600","Université Grenoble Alpes","Standard/Unranked/Unknown"
"6601","Institut de genomique fonctionnelle","Standard/Unranked/Unknown"
"6602","Chinese PLA Institute of Nephrology, State Key Laboratory of Kidney Diseases","Standard/Unranked/Unknown"
"6603","Institute of Biomedical Sciences, Academia Sinica","Standard/Unranked/Unknown"
"6604","Zhongnan Hospital of Wuhan University","Standard/Unranked/Unknown"
"6605","Université Sorbonne Paris Cité","Standard/Unranked/Unknown"
"6606","German Heart Center Munich","Standard/Unranked/Unknown"
"6607","British Trust for Ornithology","Standard/Unranked/Unknown"
"6608","AIDS Research Institute-IrsiCaixa","Standard/Unranked/Unknown"
"6609","lnstituto de Neurociencias (UMH-CSIC)","Standard/Unranked/Unknown"
"6610","Plant Evolutionary Genetics","Standard/Unranked/Unknown"
"6611","Institute for Research in Biomedicine (IRB Barcelona) and Pompeu Fabra University","Standard/Unranked/Unknown"
"6612","National Institute of Plant Genome Research","Standard/Unranked/Unknown"
"6613","Faculty of Science, Charles University","Standard/Unranked/Unknown"
"6614","Douglas Mental Health University Institute, McGill University","Standard/Unranked/Unknown"
"6615","University of Umea","Standard/Unranked/Unknown"
"6616","Institute for Genetic Medicine","Standard/Unranked/Unknown"
"6617","Robert-Koch-Institute","Standard/Unranked/Unknown"
"6618","Science for Life Laboratory","Standard/Unranked/Unknown"
"6619","Northeast Agricultural University","Standard/Unranked/Unknown"
"6620","Peking University School and Hospital of Stomatology","Standard/Unranked/Unknown"
"6621","Department of NeurOhio State Universityrgery, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences, No. 1 Shuaifuyuan Hutong, Dongcheng District, Beijing, 100730, China","Standard/Unranked/Unknown"
"6622","ZMNH/UKE","Standard/Unranked/Unknown"
"6623","PhyMedExp - Inserm U1046 - CNRS UMR9214 - UM","Standard/Unranked/Unknown"
"6624","Copenhagen University Hospital, Rigshospitalet","Standard/Unranked/Unknown"
"6625","F. Hoffmann-La Roche AG","Standard/Unranked/Unknown"
"6626","Kunming Institute of Zoology, the Chinese Academy of Sciences","Standard/Unranked/Unknown"
"6627","Institute of Tropical Medicine Nagasaki University","Standard/Unranked/Unknown"
"6628","Molecular Microbiology and Structural Biochemistry, Univ. Lyon I/CNRS UMR 5086","Standard/Unranked/Unknown"
"6629","Medical Faculty Bochum, Institute of Anatomy","Standard/Unranked/Unknown"
"6630","Copenhagen University Hospital Rigshospitalet","Standard/Unranked/Unknown"
"6631","CABD-Univ. Pablo de Olavide","Standard/Unranked/Unknown"
"6632","Guangdong Center for Disease Prevention and Control","Standard/Unranked/Unknown"
"6633","The Scripps Research Institute Florida","Standard/Unranked/Unknown"
"6634","Whitney Laboratory for Marine Bioscience","Standard/Unranked/Unknown"
"6635","IdiPAZ","Standard/Unranked/Unknown"
"6636","Institut des Sciences des Plantes de Paris Saclay, IPS2","Standard/Unranked/Unknown"
"6637","Yenapoya University","Standard/Unranked/Unknown"
"6638","Krefting Research Centre","Standard/Unranked/Unknown"
"6639","ReCyte Therapeutics, Inc","Standard/Unranked/Unknown"
"6640","Graduate school of Medicine, Kyoto University","Standard/Unranked/Unknown"
"6641","ACTREC, Tata Memorial Centre","Standard/Unranked/Unknown"
"6642","Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico Ospedale Maggiore Policlinico","Standard/Unranked/Unknown"
"6643","Structural and Functional Glycobiology Unit","Standard/Unranked/Unknown"
"6644","Niigata University, Brain Research Institute","Standard/Unranked/Unknown"
"6645","Defence Institute of Physiology & Allied Sciences, DRDO","Standard/Unranked/Unknown"
"6646","Daping Hospital and Research Institute of Surgery, Third Military Medical University","Standard/Unranked/Unknown"
"6647","Albert Ludwig University of Freiburg","Standard/Unranked/Unknown"
"6648","Utica College","Standard/Unranked/Unknown"
"6649","Heinrich Pette Institute, Leibniz Institute for Experimental Virology","Standard/Unranked/Unknown"
"6650","INMG","Standard/Unranked/Unknown"
"6651","National Institute of Dental and Craniofacial Research","Standard/Unranked/Unknown"
"6652","United States Food and Drug Administration","Standard/Unranked/Unknown"
"6653","Instituto de Biotecnología de la UNAM","Standard/Unranked/Unknown"
"6654","Boston Children's Hospital; Harvard Medical School","Standard/Unranked/Unknown"
"6655","Singapore Immunology Network (SIgN)","Standard/Unranked/Unknown"
"6656","Lausanne University Hospital","Standard/Unranked/Unknown"
"6657","Research Centre Jülich GmbH","Standard/Unranked/Unknown"
"6658","Casa Sollievo della Sofferenza","Standard/Unranked/Unknown"
"6659","Laboratory of Retinal Neurochemistry and Experimental Ophthalmology, Department of Human Biochemistry, School of Medicine/CEFyBO, University of Buenos Aires/CONICET, Buenos Aires, Argentina.","Standard/Unranked/Unknown"
"6660","Ludwig-Maximilians University","Standard/Unranked/Unknown"
"6661","TMC- ACTREC","Standard/Unranked/Unknown"
"6662","Center for Advanced Medical Innovation, Kyushu University","Standard/Unranked/Unknown"
"6663","Universitat de Lleida","Standard/Unranked/Unknown"
"6664","Institute for Medical Genetics and Pathology, University Hospital Basel","Standard/Unranked/Unknown"
"6665","Knight Comprehensive Cancer Institute at Oregon Health and Science University","Standard/Unranked/Unknown"
"6666","INTA","Standard/Unranked/Unknown"
"6667","Osaka University Graduate School of Dentistry","Standard/Unranked/Unknown"
"6668","Estonian Biocentre","Standard/Unranked/Unknown"
"6669","Chumakov Federal Scientific Center for Research and Development of Immune and Biological Products of Russian Academy of Sciences","Standard/Unranked/Unknown"
"6670","Institute for Molecular and Cell Biology","Standard/Unranked/Unknown"
"6671","University Medical Center Groningen (UMCG)","Standard/Unranked/Unknown"
"6672","Institute for Ophthalmic research","Standard/Unranked/Unknown"
"6673","Noble Research Institute","Standard/Unranked/Unknown"
"6674","AMU","Standard/Unranked/Unknown"
"6675","Peking Union Medical College Hospital, Peking Union Medical College and Chinese Academy of Medical Sciences","Standard/Unranked/Unknown"
"6676","Institute of Neuroscience and Collaborative Innovation Center for Brain Science","Standard/Unranked/Unknown"
"6677","Agenus","Standard/Unranked/Unknown"
"6678","CNR Institute of Cell Biology and Neurobiology","Standard/Unranked/Unknown"
"6679","Institute for Molecular Medicine Finland  (FIMM)","Standard/Unranked/Unknown"
"6680","Medical Faculty Mannheim, University Heidelberg","Standard/Unranked/Unknown"
"6681","Centre for Integrative Biology / IGBMC","Standard/Unranked/Unknown"
"6682","Suzhou Institute of Systems Medicine","Standard/Unranked/Unknown"
"6683","Friedrich-Alexander-University Erlangen-Nürnberg (FAU) and Universitätsklinikum Erlangen","Standard/Unranked/Unknown"
"6684","College of Medicine, Yonsei University","Standard/Unranked/Unknown"
"6685","Université Paris Diderot/CNRS UMR 7057, Sorbonne Paris Cité","Standard/Unranked/Unknown"
"6686","Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University","Standard/Unranked/Unknown"
"6687","Living Systems Institute","Standard/Unranked/Unknown"
"6688","Institute of Plant Stress Biology, State Key Laboratory of Cotton Biology","Standard/Unranked/Unknown"
"6689","Institute of Crop Science and Resource Conservation","Standard/Unranked/Unknown"
"6690","University of Geneva Medical School","Standard/Unranked/Unknown"
"6691","Shanghai Institute of Biochemistry and Cell Biology","Standard/Unranked/Unknown"
"6692","Forestry and Forest Products Research Institute","Standard/Unranked/Unknown"
"6693","university of Dammam","Standard/Unranked/Unknown"
"6694","Medical Center University Freiburg","Standard/Unranked/Unknown"
"6695","CCHMC","Standard/Unranked/Unknown"
"6696","CNRS - INSERM - University Pierre&Marie Curie","Standard/Unranked/Unknown"
"6697","UNT Health Science Center","Standard/Unranked/Unknown"
"6698","Hadassah Medical School, The Hebrew University of Jerusalem","Standard/Unranked/Unknown"
"6699","Westfälische Wilhelms Universität","Standard/Unranked/Unknown"
"6700","Tongji Medical School, Huazhong University of Science and Technology","Standard/Unranked/Unknown"
"6701","KIRIN Co., Ltd. Research and Development division","Standard/Unranked/Unknown"
"6702","Institute of Higher Nervous Activity and Neurophysiology of RAS","Standard/Unranked/Unknown"
"6703","French Institute of Health and Medical Research - Cancer Research Center of Toulouse","Standard/Unranked/Unknown"
"6704","The first Afﬁliated Hospital of Chongqing Medical University, Chongqing Key Laboratory of Neurology","Standard/Unranked/Unknown"
"6705","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology","Standard/Unranked/Unknown"
"6706","Inscopix","Standard/Unranked/Unknown"
"6707","Affiliated Hospital of Nantong University","Standard/Unranked/Unknown"
"6708","Instituto di Ricerche Farmacologiche Mario Negri","Standard/Unranked/Unknown"
"6709","INSERM U1046","Standard/Unranked/Unknown"
"6710","Alma Mater Studiorum - University of Bologna","Standard/Unranked/Unknown"
"6711","Virginia Tech Carilion Research Institut","Standard/Unranked/Unknown"
"6712","Florida Agricultural and Mechanical University","Standard/Unranked/Unknown"
"6713","Chinese Academy of Fishery Sciences","Standard/Unranked/Unknown"
"6714","Osaka University of the Institute of Scientific and Industrial Research","Standard/Unranked/Unknown"
"6715","Zhongshan School of Medicine, Sun Yat-Sen University","Standard/Unranked/Unknown"
"6716","Institute of Gene Biology RAS","Standard/Unranked/Unknown"
"6717","Medical College of Georgia, Augusta University","Standard/Unranked/Unknown"
"6718","Insitute for Bioengineering of Catalonia (IBEC)","Standard/Unranked/Unknown"
"6719","U.S. Army Engineer Research and Development Center","Standard/Unranked/Unknown"
"6720","ACTREC, Tata memorial Centre","Standard/Unranked/Unknown"
"6721","CSIR-Institute of Microbial Technology Chandigarh-160036,  India","Standard/Unranked/Unknown"
"6722","Wellcome Centre for Cell Biology","Standard/Unranked/Unknown"
"6723","University of Toronto and Centre for Addiction & Mental Health","Standard/Unranked/Unknown"
"6724","Federico II University of Naples","Standard/Unranked/Unknown"
"6725","INSERM UMR 1163 - Institut Imagine","Standard/Unranked/Unknown"
"6726","Freie Universitaet Berlin","Standard/Unranked/Unknown"
"6727","University Medical Center Goettingen, Germany","Standard/Unranked/Unknown"
"6728","Pfizer - Universidad de Granada - Junta de Andalucía Centre for Genomics and Oncological Research (GENYO)","Standard/Unranked/Unknown"
"6729","Penn State Hershey College of Medicine","Standard/Unranked/Unknown"
"6730","The Kolling Institue","Standard/Unranked/Unknown"
"6731","INRA, AgroParisTech, Universite Paris-Saclay","Standard/Unranked/Unknown"
"6732","Korea Research Institute of Chemical Technology","Standard/Unranked/Unknown"
"6733","Biomedical Research Institute of Murcia IMIB-Arrixaca","Standard/Unranked/Unknown"
